Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport country,Foot,Height,Weight,On loan,Succ. def. per 90,Def duels per 90,Def duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Succ. att. actions,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals total,Head goals per 90,Shots total,Shots per 90,Shots on target %,"Goal conv., %",Assists per 90,Crosses per 90,"Crosses, %",Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Crosses to goalie box per 90,Dribbles per 90,Dribbles succ. %,Off duels per 90,Off duels won %,Touches in box per 90,Progressive runs per 90,Passes per 90,Passes acc. %,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Back passes acc. %,Lat passes per 90,Lat passes acc. %,Sh/m passes per 90,Sh/m passes acc. %,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smt passes per 90,Smt passes acc. %,Key passes per 90,Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Goals total,Goals per 90,Shots total,Shots per 90,Clean sheets,Save %,xG against,xG against per 90,Back passes to GK per 90,Exits per 90,Punches per 90,"Punches, %",Claims per 90,Claim/punch ratio,Aerial duels per 90,Aerial duels won %,FKs per 90,DFKs per 90,DFKs on target %,Corners per 90,Penalties taken,Penalty conversion %,League
C. Holse,Rosenborg,"RW, RWF, LWF",21,900000,2023-12-31,12,417,2,0.3,0,0.33,Denmark,Denmark,left,177,68,no,4.96,5.61,38.46,1.51,14.29,0,0,0,2.81,3.86,0.86,0,0,0,0,4.96,0.43,2,0.43,0.06,0,0,10,2.16,30,20,0,3.67,52.94,0.86,25,2.81,61.54,0,4.96,47.83,9.5,52.27,1.94,1.73,38.85,83.89,9.5,75,5.83,100,15.97,87.84,33.88,87.26,1.51,71.43,17.03,14.99,0.07,0.22,0,0.86,0,0.22,3.02,85.71,4.1,68.42,1.08,20,1.08,2.16,7.77,83.33,0,,0,,0,0,0,0,0.22,,,,,,,,0.86,0.22,0,2.37,0,0,Norwegian First Div
F. Bjørkan,Bodø / Glimt,LB,21,900000,2021-12-31,12,1007,0,1.21,3,1.18,Norway,Norway,left,175,75,no,9.92,8.31,67.74,2.5,28.57,0.09,0.16,0,4.2,7.34,0.89,2,0.18,0,0,3.66,0,0,0,0.11,0,0,6,0.54,0,0,0.27,1.79,40,1.79,40,0,0,0.27,3.75,66.67,8.67,52.58,2.59,4.2,56.31,89.37,16.71,80.75,8.94,95,22.97,93,52.19,93.32,2.59,37.93,18.1,32.85,0.11,0.27,0,0.71,62.5,0.54,4.74,88.68,2.95,48.48,0.54,50,1.88,0.71,9.21,81.55,0,,0,,0,0,0,0,0.45,,,,,,,,0,0,0,0,0,0,Norwegian First Div
F. Aursnes,Molde,"RDMF, RCMF",24,900000,2021-12-31,13,1222,2,1.42,0,0.79,Norway,Norway,right,179,71,no,7.95,5.08,53.62,2.65,50,0.07,0.11,0.29,5.16,7.37,1.1,2,0.15,0,0,1.47,0.15,2,0.15,0.1,0,0,12,0.88,33.33,16.667,0,0.74,20,0.15,100,0.59,0,0.15,1.55,47.62,3.61,40.82,1.4,0.44,68.86,90.27,22.39,80.92,8.69,96.61,26.07,95.48,63.41,93.96,4.79,52.31,18.27,39.48,0.06,0,0,0.81,36.36,0.07,8.91,76.86,2.28,58.06,1.18,31.25,1.33,0.15,8.62,84.62,0,,0,,0,0,0,0,0.37,,,,,,,,0.29,0.07,0,1.25,0,0,Norwegian First Div
T. Reginiussen,Rosenborg,RCB,34,800000,2020-12-31,10,890,0,0.23,0,0,Norway,Norway,right,185,80,no,9.3,3.34,72.73,5.06,48,0.81,1.12,0.3,6.07,8.37,0.71,1,0.1,0,0,0.81,0,0,0,0.02,0,0,3,0.3,0,0,0,0.1,0,0,0,0.1,0,0,1.11,63.64,2.33,65.22,0.61,2.22,48.44,89.98,18.81,84.41,2.83,96.43,21.74,96.74,46.62,91.97,1.72,41.18,19.12,31.14,0,0,0,0.1,100,0,5.46,81.48,0.2,0,0,0,0,0,8.49,73.81,0,,0,,0,0,0,0,2.12,,,,,,,,0,0,0,0,0,0,Norwegian First Div
L. James,Molde,CF,27,800000,2020-12-31,10,629,6,4.5,0,0.39,Nigeria,Nigeria,right,188,80,no,3,3.29,43.48,7.73,40.74,0,0,0,1.57,2.24,2,2,0.29,1,0.14,2.72,0.86,5,0.72,0.64,1,0.14,17,2.43,70.59,35.294,0,0.14,0,0.14,0,0,0,0,2.58,38.89,10.73,25.33,3.58,0.57,21.32,80.54,2.58,72.22,6.3,86.36,5.15,86.11,21.03,81.63,0.14,0,11.84,1.49,0.06,0.29,0,0.72,0,0.14,0.72,60,0.43,66.67,0.72,0,1,0,1.57,72.73,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,1,100,Norwegian First Div
T. Børven,Rosenborg,"CF, LW",28,800000,2022-12-31,12,1064,8,5.62,0,0.33,Norway,Norway,right,185,72,no,2.37,1.52,44.44,7.11,42.86,0.08,0.12,0,1.61,2.26,0.85,0,0,0,0,1.95,0.68,5,0.42,0.48,3,0.25,28,2.37,35.71,28.571,0,0.42,80,0.34,75,0.08,100,0,1.02,50,3.55,23.81,3.55,0.34,20.55,78.19,2.62,58.06,6.43,85.53,7.53,79.78,19.96,78.39,0.51,66.67,15.69,13.72,0.03,0,0,0.51,50,0,1.27,40,0.76,44.44,0.42,40,0.59,0.34,1.78,57.14,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,3,100,Norwegian First Div
K. Zachariassen,Rosenborg,"RCMF, RCMF3, RDMF",26,800000,2023-12-31,11,1051,4,1.69,0,0.79,Norway,Norway,right,180,74,no,8.65,7.71,57.78,3.51,58.54,0.51,0.7,0.09,3.68,5.02,1.88,4,0.34,0,0,2.31,0.34,4,0.34,0.14,1,0.09,17,1.46,41.18,23.529,0,0.43,0,0,0,0.43,0,0,3,51.43,7.11,40.96,2.57,1.8,30.23,77.9,9.51,63.06,5.05,93.22,10.28,85.83,28.52,80.48,1.37,43.75,16.66,22.34,0.07,0.09,0,0.6,28.57,0.26,4.54,71.7,2.23,65.38,0.51,33.33,1.46,0,3.17,54.05,0,,0,,0,0,0,0,0.17,,,,,,,,0,0,0,0,0,0,Norwegian First Div
O. Omoijuanfo,Molde,CF,26,800000,2021-12-31,11,558,6,7.3,2,1.43,Norway,"Norway, Nigeria",right,188,75,no,2.9,2.26,35.71,4.35,55.56,0,0,0,2.1,3.1,1.29,0,0,0,0,2.42,0.97,3,0.48,1.18,1,0.16,25,4.03,44,24,0.32,0.32,50,0,0,0.32,50,0,2.58,18.75,8.55,24.53,5.48,1.94,17.26,83.18,2.42,66.67,4.84,93.33,5,83.87,16.61,84.47,0.32,50,13.56,6.67,0.23,0.16,0.16,0.16,0,0.48,0.97,83.33,0.81,60,0.32,0,0.81,0.16,1.94,58.33,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,3,100,Norwegian First Div
E. Hussain,Molde,"LDMF, LCMF",27,800000,2022-12-31,13,1073,6,3.66,1,1.5,Norway,"Norway, Pakistan",left,176,69,no,9.23,8.05,65.63,2.52,33.33,0.34,0.48,0.42,3.61,5.16,1.51,3,0.25,0,0,2.35,0.5,6,0.5,0.31,1,0.08,18,1.51,44.44,33.333,0.08,0.75,55.56,0.59,42.86,0.17,100,0,1.01,58.33,3.44,46.34,1.34,1.34,60.56,86.01,20.55,73.47,10.48,96.8,22.48,93.28,52.26,90.53,7.88,59.57,20.47,37.07,0.13,0.08,0.17,1.26,53.33,0.34,10.9,70,3.27,56.41,2.77,33.33,1.93,0.42,10.82,83.72,0,,0,,0,0,0,0,0.59,,,,,,,,0.08,0,0,0.34,0,0,Norwegian First Div
Y. Ibrahimaj,Viking,"RWF, RW, RCMF",24,800000,2020-12-31,12,1022,2,3.09,1,0.59,Norway,"Norway, Kosovo",left,178,70,no,3.43,3.87,50,2.2,28,0.09,0.11,0,1.41,1.8,0.62,1,0.09,0,0,2.64,0.18,2,0.18,0.27,0,0,17,1.5,29.41,11.765,0.09,2.91,30.3,0.53,50,2.38,25.93,0.53,3.08,42.86,6.16,27.14,2.64,1.85,27.48,79.17,6.52,68.92,7.22,95.12,8.37,78.95,23.25,85.61,1.5,76.47,16.99,25.3,0.05,0,0,0.26,0,0.09,3.08,65.71,2.47,39.29,0.35,0,0.62,0.97,3.35,86.84,0,,0,,0,0,0,0,0.09,,,,,,,,0.62,0.09,0,1.41,0,0,Norwegian First Div
