Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport country,Foot,Height,Weight,On loan,Succ. def. per 90,Def duels per 90,Def duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Succ. att. actions,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals total,Head goals per 90,Shots total,Shots per 90,Shots on target %,"Goal conv., %",Assists per 90,Crosses per 90,"Crosses, %",Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Crosses to goalie box per 90,Dribbles per 90,Dribbles succ. %,Off duels per 90,Off duels won %,Touches in box per 90,Progressive runs per 90,Passes per 90,Passes acc. %,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Back passes acc. %,Lat passes per 90,Lat passes acc. %,Sh/m passes per 90,Sh/m passes acc. %,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smt passes per 90,Smt passes acc. %,Key passes per 90,Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Goals total,Goals per 90,Shots total,Shots per 90,Clean sheets,Save %,xG against,xG against per 90,Back passes to GK per 90,Exits per 90,Punches per 90,"Punches, %",Claims per 90,Claim/punch ratio,Aerial duels per 90,Aerial duels won %,FKs per 90,DFKs per 90,DFKs on target %,Corners per 90,Penalties taken,Penalty conversion %,League
A. Ahmedhodzic,Malmö FF,RCB,21,1000000,2023-12-31,13,1241,1,0.69,0,0.01,Sweden,"Sweden, Bosnia and Herzegovina",right,192,84,no,8.92,4.93,67.65,4.5,72.58,1.09,1.46,0.51,4.5,6.04,0.65,3,0.22,0,0,0.94,0.07,1,0.07,0.05,1,0.07,5,0.36,40,20,0,0.22,66.67,0,0,0.22,66.67,0.07,0.65,55.56,1.45,65,0.87,1.23,61.14,91.46,24.37,85.42,3.34,91.3,29.44,96.55,54.39,94.4,6.74,67.74,21.64,36.72,0,0,0,0.29,100,0.07,7.25,84,0.65,55.56,0.51,28.57,0.29,0.15,12.26,77.51,0,,0,,0,0,0,0,1.96,,,,,,,,0,0,0,0,0,0,Swedish First Division
J. Ring,Djurgården,"LAMF, RAMF",28,1000000,2020-12-31,13,938,0,1.24,0,1.66,Sweden,Sweden,left,182,80,no,5.09,3.55,59.46,1.92,45,0.1,0.13,0,2.88,3.93,0.77,0,0,0,0,4.32,0,0,0,0.12,0,0,16,1.54,12.5,0,0,3.55,32.43,2.3,29.17,1.25,38.46,0.29,5.18,50,13.05,41.91,3.36,1.54,37.61,78.06,7.87,52.44,11.03,95.65,11.61,77.69,33.01,84.01,1.15,50,16.98,21.16,0.16,0.1,0,1.06,36.36,0.38,1.54,62.5,4.13,37.21,0.67,14.29,1.34,1.06,3.65,78.95,0,,0,,0,0,0,0,0.1,,,,,,,,0.1,0,0,0,0,0,Swedish First Division
F. Ulvestad,Djurgården,RDMF,28,1000000,2020-12-31,13,1250,6,4.78,0,0.43,Norway,Norway,right,183,83,no,7.13,4.9,60.29,5.69,56.96,0.07,0.1,0.65,4.1,5.55,1.15,3,0.22,0,0,1.73,0.43,2,0.14,0.34,0,0,22,1.58,40.91,27.273,0,1.08,40,0.14,100,0.86,25,0.14,1.22,41.18,5.26,52.05,1.3,2.09,60.91,93.03,16.13,87.95,7.34,99.02,27.86,94.83,56.88,95.32,3.1,67.44,17.38,29.54,0.03,0.14,0,0.14,100,0.22,8.5,83.05,2.02,57.14,0.36,40,0.58,0.5,6.26,85.06,0,,0,,0,0,0,0,1.3,,,,,,,,0,0,0,0,4,100,Swedish First Division
J. Une Larsson,Djurgården,RCB,26,1000000,2021-12-31,12,1112,0,0.58,0,0.2,Sweden,Sweden,right,181,80,no,9.96,6.07,78.67,6.23,61.04,0,0,0.49,5.18,6.86,0.73,2,0.16,0,0,0.24,0,0,0,0.05,0,0,6,0.49,0,0,0,0.4,20,0.08,100,0.24,0,0.08,0.16,100,0.97,75,1.13,0.32,55.36,91.52,18.78,84.48,3.24,97.5,26.3,96.62,49.21,94.74,5.91,68.49,20.39,39.28,0.02,0,0,0,0,0,5.42,74.63,0.57,28.57,0.32,50,0.32,0.08,5.91,78.08,0,,0,,0,0,0,0,2.19,,,,,,,,0,0,0,0,0,0,Swedish First Division
A. Witry,Djurgården,RB,24,1000000,2022-11-30,13,1193,2,1.14,2,3.9,Norway,Norway,right,178,67,no,10.41,8.22,61.47,2.87,60.53,0.3,0.41,0.38,5.05,6.84,1.28,0,0,0,0,3.55,0.15,2,0.15,0.09,0,0,23,1.74,34.78,8.696,0.15,5.21,31.88,0.08,0,5.13,32.35,0.83,1.74,69.57,4.15,56.36,2.56,3.02,63.9,82.76,15.62,71.5,9.2,95.08,29.8,85.82,50.7,91.37,8.52,62.83,22.22,42.98,0.29,0,0,0.38,20,0.68,7.17,76.84,4.6,42.62,0.45,0,1.51,1.43,12.52,79.52,0,,0,,0,0,0,0,1.74,,,,,,,,1.74,0.15,50,1.96,0,0,Swedish First Division
J. Larsson,Elfsborg,RB,30,1000000,2022-12-31,12,1071,0,0.45,4,2.63,Sweden,Sweden,right,181,75,no,6.81,4.45,47.17,2.44,51.72,0.08,0.09,0.08,4.62,5.17,0.76,1,0.08,0,0,2.52,0,0,0,0.04,0,0,9,0.76,33.33,0,0.34,4.96,25.42,0,0,4.96,25.42,0.84,1.93,43.48,2.61,41.94,2.18,1.6,38.4,67.83,12.02,53.85,6.3,96,15.71,69.52,25.21,85.33,8.57,39.22,24.6,39.33,0.22,0.08,0,0.25,66.67,0.76,6.3,48,5.71,38.24,1.6,21.05,1.18,1.34,9.41,74.11,0,,0,,0,0,0,0,1.01,,,,,,,,0.25,0.08,100,0.59,0,0,Swedish First Division
A. Kačaniklić,Hammarby,"RAMF, RW",28,1000000,2021-12-31,13,981,2,3.34,1,2.13,Sweden,"Sweden, North Macedonia",left,181,66,no,4.77,3.49,57.89,2.2,29.17,0.09,0.13,0,2.66,3.72,0.55,2,0.18,0,0,5.05,0.18,2,0.18,0.31,0,0,32,2.94,34.38,6.25,0.09,2.94,25,0.37,0,2.48,29.63,0.92,4.13,60,8.62,47.87,3.85,2.11,27.43,74.25,6.06,60.61,5.96,92.31,10.83,74.58,23.49,82.03,1.28,42.86,18.2,22.54,0.2,0.09,0,1.65,50,0.55,2.48,74.07,3.76,48.78,1.74,31.58,1.65,0.92,4.13,80,0,,0,,0,0,0,0,0.09,,,,,,,,0,0,0,0,0,0,Swedish First Division
J. Andersen,Hammarby,RDMF,27,1000000,2023-06-30,12,1087,0,1.19,1,1.54,Denmark,Denmark,right,178,75,no,11.26,10.43,62.7,6.13,48.65,0.58,0.77,0.17,4.14,5.47,2.65,4,0.33,0,0,2.98,0,0,0,0.1,0,0,14,1.16,7.14,0,0.08,1.49,55.56,0.41,60,1.08,53.85,0.17,2.57,67.74,7.78,54.26,1.08,2.65,64,87.97,17.97,78.34,9.02,97.25,26.91,92.92,58.37,90.35,4.47,64.81,19.13,40.57,0.13,0,0,1.08,30.77,0.58,9.94,80.83,2.15,61.54,1.08,30.77,1.16,0.75,10.1,77.87,0,,0,,0,0,0,0,0.17,,,,,,,,0.08,0,0,0.66,0,0,Swedish First Division
A. Yusuf,IFK Göteborg,"RDMF, LDMF, LCMF3",20,1000000,2022-11-30,13,1232,0,1.5,0,1.5,Nigeria,Nigeria,right,175,66,no,7.45,6.14,53.57,2.7,51.35,0.15,0.19,0,4.02,5.27,1.24,2,0.15,0,0,2.56,0,0,0,0.11,0,0,8,0.58,37.5,0,0,0.8,45.45,0.15,50,0.66,44.44,0,3,60.98,7.96,41.28,1.31,1.31,62.68,89.63,15.49,77.83,11.83,97.53,22.57,95.15,58,92.19,4.24,63.79,16.91,33.52,0.11,0,0.07,0.29,50,0.29,8.04,77.27,1.53,61.9,0.66,44.44,1.02,0.37,7.45,73.53,0,,0,,0,0,0,0,0.29,,,,,,,,0,0,0,0,0,0,Swedish First Division
J. Johansson,IFK Göteborg,RCB,30,1000000,2022-12-31,4,318,0,0.57,0,0,Sweden,Sweden,right,187,86,no,10.75,4.25,60,2.83,70,0.28,0.43,0.28,7.92,12.17,0.57,0,0,0,0,1.7,0,0,0,0.16,0,0,2,0.57,50,0,0,0.28,0,0,0,0.28,0,0,1.42,100,3.96,57.14,1.42,3.11,69.62,89.43,27.74,81.63,2.55,100,35.38,96,61.7,91.74,7.64,74.07,21.93,35.18,0,0,0,0.28,0,0,11.6,90.24,0.85,66.67,0.28,0,1.42,0,15,84.91,0,,0,,0,0,0,0,1.7,,,,,,,,0,0,0,0,0,0,Swedish First Division
Í. Jóhannesson,IFK Norrköping,"RW, LB, RCMF",17,1000000,2021-12-31,12,950,1,1.22,2,2.2,England,"England, Iceland",left,180,67,no,6.16,4.36,41.3,1.14,50,0.47,0.61,0.19,3.88,5.04,0.76,2,0.19,0,0,3.22,0.09,1,0.09,0.12,0,0,14,1.33,50,7.143,0.19,4.07,23.26,2.46,23.08,1.42,26.67,0.38,1.8,68.42,3.03,50,3.03,0.66,45.47,83.96,9.09,80.21,10.89,93.91,16.96,79.89,38.18,91.07,3.41,77.78,17.62,30.28,0.21,0,0.09,0.57,66.67,0.66,5.31,85.71,3.41,47.22,0.85,66.67,0.95,0.95,6.06,82.81,0,,0,,0,0,0,0,0.19,,,,,,,,0.66,0,0,1.99,0,0,Swedish First Division
C. Nyman,IFK Norrköping,CF,27,1000000,,13,1140,7,7.5,1,1.34,Sweden,Sweden,right,185,82,no,3,3.47,43.18,6.32,46.25,0.32,0.41,0.24,1.18,1.53,2.13,0,0,0,0,2.92,0.55,6,0.47,0.59,1,0.08,40,3.16,52.5,17.5,0.08,0.55,28.57,0.47,33.33,0.08,0,0.08,1.66,52.38,8.53,32.41,5.29,0.95,12.95,78.66,2.05,65.38,4.58,86.21,2.68,79.41,12.08,82.35,0.32,25,13.52,8.62,0.11,0,0,0.32,75,0.32,0.87,45.45,0.47,66.67,0.16,50,0.87,0.16,0.87,81.82,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,1,100,Swedish First Division
A. Fransson,IFK Norrköping,"RCMF, RCMF3, DMF",26,1000000,2021-06-30,8,399,0,0.04,0,0.31,Sweden,Sweden,right,180,74,no,6.32,6.32,50,1.35,83.33,0,0,0.45,3.16,4.12,0.9,0,0,0,0,2.48,0,0,0,0.01,0,0,2,0.45,0,0,0,0.68,33.33,0.23,0,0.45,50,0,2.93,46.15,5.86,53.85,0.23,3.16,49.4,90.41,14.21,82.54,7.89,100,17.82,91.14,47.14,93.3,1.58,28.57,16.8,24.3,0.07,0,0,1.35,66.67,0.45,6.99,83.87,2.03,66.67,1.8,50,1.35,0.23,6.99,93.55,0,,0,,0,0,0,0,0.23,,,,,,,,0.23,0,0,0,0,0,Swedish First Division
F. Dagerstål,IFK Norrköping,RCB,23,1000000,2020-12-31,13,1174,0,0.41,0,0,Sweden,Sweden,right,189,78,no,8.2,4.98,58.46,2.99,53.85,0.23,0.3,0.54,5.06,6.56,0.54,1,0.08,1,0.08,0.69,0,0,0,0.03,0,0,3,0.23,33.33,0,0,0.15,50,0,0,0.15,50,0,0.54,71.43,1.23,50,0.46,2.45,82.72,94.9,29.67,91.21,3.53,100,40.71,97.36,79.19,96.61,3.6,59.57,17.94,33.66,0,0,0.08,0.15,100,0,8.82,84.35,0.46,50,0.23,66.67,0.31,0,8.89,84.48,0,,0,,0,0,0,0,1.99,,,,,,,,0,0,0,0,0,0,Swedish First Division
E. Smith,IFK Norrköping,"DMF, RDMF",23,1000000,2020-11-30,13,1136,0,0.25,1,1.24,Sweden,Sweden,right,192,86,yes,9.11,6.26,55.7,2.22,50,0.55,0.7,0.24,5.07,6.4,0.63,3,0.24,0,0,0.79,0,0,0,0.02,0,0,6,0.48,66.67,0,0.08,0.4,40,0.08,100,0.32,25,0.08,0.55,42.86,2.93,56.76,0.48,1.19,73.68,92.58,16.56,79.43,12.36,98.08,32.96,97.12,70.51,94.49,2.77,51.43,16.65,33.03,0.1,0.24,0.08,0.55,14.29,0.24,9.35,82.2,2.14,37.04,1.74,31.82,0.87,0.16,7.05,76.4,0,,0,,0,0,0,0,0.87,,,,,,,,0.16,0.08,100,0,0,0,Swedish First Division
R. Lauritsen,IFK Norrköping,LCB,24,1000000,2021-12-31,13,1260,5,2.71,3,0.96,Denmark,Denmark,right,187,85,no,9.86,4.57,76.56,8.07,70.8,0.5,0.64,0.86,5.86,7.52,0.57,0,0,0,0,0.64,0.36,5,0.36,0.19,3,0.21,13,0.93,61.54,38.462,0.21,0.07,0,0,0,0.07,0,0,0.29,0,0.93,38.46,2,1.14,60.93,90.74,22.71,80.19,3.5,97.96,28.43,97.24,55.5,94.72,5.5,50.65,20.16,43.12,0.07,0,0,0.14,50,0.14,6.57,70.65,0.57,12.5,0.79,27.27,1,0,8.86,68.55,0,,0,,0,0,0,0,2.71,,,,,,,,0,0,0,0,0,0,Swedish First Division
D. Irandust,Häcken,"AMF, CF, RAMF",22,1000000,2021-12-31,13,1078,4,3.6,1,2.04,Sweden,"Sweden, Iran",left,185,73,no,4.93,6.35,51.32,1.17,21.43,0.08,0.1,0.08,1.59,1.91,1.09,0,0,0,0,4.17,0.33,3,0.25,0.3,0,0,28,2.34,42.86,14.286,0.08,1.17,35.71,0.75,33.33,0.33,50,0,5.09,45.9,11.86,42.96,2.42,3.01,35.23,80.81,8.68,71.15,8.27,93.94,10.1,85.12,32.89,82.74,1.5,72.22,16.71,35.46,0.17,0,0,1.67,25,0.75,3.76,71.11,3.17,52.63,1.5,22.22,2,0.42,4.09,87.76,0,,0,,0,0,0,0,0.17,,,,,,,,0.92,0.08,0,0.92,1,100,Swedish First Division
M. Antonsson,Malmö FF,"RAMF, LAMF, LW",29,950000,2021-12-31,8,491,1,2.49,2,1.27,Sweden,Sweden,right,184,77,no,8.43,5.13,71.43,1.28,28.57,0.92,1.21,0.18,3.85,5.08,0.92,0,0,0,0,2.57,0.18,1,0.18,0.46,0,0,15,2.75,26.67,6.667,0.37,2.57,28.57,1.83,20,0.73,50,0,1.47,25,6.6,19.44,4.22,0.18,17.78,76.29,2.57,64.29,5.68,93.55,5.68,70.97,14.85,85.19,0.55,66.67,17.66,4.76,0.23,0,0,1.1,66.67,0.55,0.73,50,2.02,63.64,0.73,50,1.65,0.55,2.57,78.57,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Swedish First Division
G. Kharaishvili,IFK Göteborg,"LAMF, LW, CF",24,950000,2022-07-31,8,522,2,3.09,0,0.92,Georgia,Georgia,right,183,73,no,5.34,2.59,66.67,1.55,44.44,0.17,0.21,0.34,3.45,4.26,0,0,0,0,0,4.83,0.34,2,0.34,0.53,0,0,23,3.97,47.83,8.696,0,1.03,16.67,0.86,20,0.17,0,0.17,5.52,50,12.24,40.85,3.28,2.24,29.83,81.5,7.59,77.27,6.03,91.43,11.72,86.76,25.86,85.33,3.1,66.67,19.88,39.56,0.16,0,0,0.52,0,0.34,2.59,80,3.45,55,1.55,22.22,1.72,0.17,4.66,77.78,0,,0,,0,0,0,0,0,,,,,,,,0.86,0.34,50,2.07,1,0,Swedish First Division
S. Larsson,AIK,"RCMF, RCMF3, DMF",35,950000,2020-12-31,13,1222,2,1.6,2,2.12,Sweden,Sweden,right,177,74,no,7.88,6.7,43.96,2.65,50,0.22,0.34,0.59,4.71,7.3,2.14,2,0.15,0,0,1.33,0.15,1,0.07,0.12,0,0,11,0.81,54.55,18.182,0.15,1.18,25,0.29,25,0.88,25,0.15,0.81,54.55,3.83,50,0.81,1.03,50.97,82.23,18.78,67.06,6.33,100,20.55,88.89,41.83,91.73,8.1,41.82,21.92,42.45,0.16,0,0,0.44,33.33,0.15,11.71,61.01,2.5,23.53,1.33,16.67,0.81,0.29,9.35,77.95,0,,0,,0,0,0,0,1.33,,,,,,,,1.91,0.52,57.14,4.12,1,100,Swedish First Division
E. Adu,AIK,"LCMF, LCMF3, DMF",29,950000,2020-12-31,8,289,0,0,0,0,Ghana,Ghana,right,178,69,no,7.47,5.92,52.63,2.8,33.33,0,0,0.62,4.36,6.67,1.56,1,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,50,1.25,50,0,0.31,63.22,92.61,17.44,82.14,5.29,100,34.88,95.54,57.92,96.24,5.29,52.94,20.91,31.53,0,0,0,0.31,0,0,5.29,76.47,1.25,50,0.93,0,0.62,0,7.47,83.33,0,,0,,0,0,0,0,1.56,,,,,,,,0,0,0,0,0,0,Swedish First Division
K. Mets,AIK,"LCB3, LCB",27,950000,2021-12-31,12,1114,0,0.11,0,0.32,Estonia,Estonia,left,190,80,no,9.94,5.74,64.79,3.8,61.7,0.48,0.73,0.4,5.74,8.69,0.97,5,0.4,0,0,1.21,0,0,0,0.01,0,0,3,0.24,33.33,0,0,0.97,50,0.97,50,0,0,0,0.73,77.78,1.37,58.82,1.05,1.37,58.41,86.17,23.67,77.47,4.85,96.67,23.91,91.55,49.77,92.05,8.24,54.9,21.88,38.64,0.03,0.08,0.08,0.16,50,0.16,9.29,74.78,1.37,41.18,0.24,0,0.57,0.48,13.09,74.69,0,,0,,0,0,0,0,1.86,,,,,,,,0,0,0,0,0,0,Swedish First Division
D. Bojanić,Hammarby,"LDMF, LCMF, DMF",25,950000,2023-11-30,13,684,0,0.51,1,1.98,Sweden,"Sweden, Croatia",right,182,74,no,6.71,6.05,58.7,1.18,55.56,0.26,0.35,0.26,2.89,3.84,0.53,0,0,0,0,3.29,0,0,0,0.07,0,0,10,1.32,20,0,0.13,0.92,57.14,0.39,66.67,0.53,50,0.39,3.55,44.44,7.37,46.43,0.53,1.97,58.68,82.51,23.68,73.89,7.37,96.43,22.37,88.82,53.55,86.24,4.61,37.14,19.71,41.36,0.26,0.26,0,1.97,46.67,0.26,10.92,75.9,4.87,54.05,2.76,33.33,2.11,0.79,14.47,72.73,0,,0,,0,0,0,0,0.66,,,,,,,,1.84,0.13,0,5.66,0,0,Swedish First Division
I. Pettersson,IFK Norrköping,GK,23,950000,2020-12-31,13,1260,0,0,0,0,Sweden,Sweden,left,181,82,no,1.36,0,0,0.5,100,0,0,0,1.36,1.74,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.07,100,0,0,23.71,85.24,16,80.8,0,0,5.57,93.59,14.93,99.04,8.79,61.79,28.66,49.59,0,0,0,0,0,0,1.57,50,0.07,0,0.07,0,0,0,7.36,73.79,17,1.21,55,3.93,3,69.09,16.24,1.16,0,1.21,0.29,25,0.71,2.5,0.5,100,,,,0,0,0,Swedish First Division
J. Lahne,Örebro,"RW, LW, CF",18,900000,,10,627,0,1.27,1,0.92,Zambia,"Zambia, Sweden",right,174,68,yes,6.03,5.31,67.57,2.01,42.86,0,0,0.14,2.44,2.77,0.43,0,0,0,0,3.3,0,0,0,0.18,0,0,14,2.01,42.86,0,0.14,2.01,28.57,0.72,20,1.29,33.33,0.29,3.01,52.38,9.62,25.37,2.87,2.01,18.37,75.78,3.01,57.14,7.46,94.23,3.3,60.87,16.08,82.14,0.43,33.33,14.77,9.29,0.13,0,0,0.43,66.67,0.72,1,57.14,2.01,64.29,0.43,66.67,0.72,0.72,1.72,91.67,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Swedish First Division
F. Bachirou,Malmö FF,"LDMF, LCMF, RCMF",30,900000,2022-12-31,9,695,0,0.35,0,0.06,France,"France, Comoros",right,167,65,no,8.16,6.09,59.57,2.72,61.9,0.65,0.84,0.13,3.88,5.06,1.17,0,0,0,0,1.42,0,0,0,0.04,0,0,1,0.13,0,0,0,0.91,28.57,0.39,66.67,0.52,0,0,1.42,63.64,4.53,45.71,0.26,0.91,56.46,83.03,20.07,71.61,5.83,100,23.05,89.33,52.71,85.75,3.24,56,18.78,37.17,0.01,0.13,0,0.91,28.57,0,9.71,80,1.29,60,1.04,37.5,1.17,0.26,9.06,71.43,0,,0,,0,0,0,0,0.52,,,,,,,,0,0,0,0,0,0,Swedish First Division
R. Magyar,Hammarby,RCB,29,800000,2022-06-30,3,143,0,0,0,0,Sweden,Sweden,right,191,84,no,10.07,6.29,70,4.41,57.14,0,0,0,5.66,8.44,1.89,0,0,1,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,50,0,0,53.5,81.18,23.29,70.27,2.52,100,22.66,94.44,44.69,88.73,8.81,42.86,22.57,40.14,0,0,0,0,0,0,8.18,61.54,0.63,100,0,0,0.63,0,10.7,52.94,0,,0,,0,0,0,0,2.52,,,,,,,,0,0,0,0,0,0,Swedish First Division
Paulinho,Hammarby,"CF, AMF, LAMF",34,800000,2021-12-31,9,534,2,2.13,1,0.35,Brazil,"Brazil, Sweden",right,173,76,no,3.2,3.71,36.36,3.54,57.14,0.17,0.26,0,1.69,2.63,2.36,2,0.34,0,0,3.2,0.34,2,0.34,0.36,0,0,12,2.02,33.33,16.667,0.17,0.67,100,0.34,100,0.34,100,0,3.2,52.63,8.6,37.25,2.53,1.18,25.11,84.56,4.89,65.52,7.25,90.7,10.11,90,22.75,83.7,2.02,91.67,19.08,21.36,0.06,0,0,0.34,50,0.51,3.03,72.22,0.84,40,0.34,50,0.51,0.34,2.53,86.67,0,,0,,0,0,0,0,0,,,,,,,,0.17,0.17,100,0,1,0,Swedish First Division
A. Granqvist,Helsingborg,RCB,35,800000,2021-12-31,1,56,0,0,0,0,Sweden,Sweden,right,192,84,no,9.64,4.82,100,14.46,77.78,0,0,3.21,4.82,6.43,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,50,6.43,25,1.61,0,49.82,83.87,20.89,69.23,1.61,100,20.89,100,43.39,92.59,6.43,25,19.67,44.78,0,0,0,0,0,0,3.21,0,1.61,0,0,0,0,0,3.21,50,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Swedish First Division
J. Dahlin,Malmö FF,GK,33,800000,2023-12-31,13,1249,0,0,0,0,Sweden,Sweden,right,192,94,no,1.59,0.14,100,0.43,100,0,0,0,1.44,1.94,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.22,100,0,0,21.04,88.7,12.18,81.07,0,0,8.36,100,13.04,100,7.93,70.91,35.15,51.39,0,0,0,0,0,0,1.73,33.33,0.22,0,0.14,0,0,0,6.49,80,12,0.86,42,3.03,4,71.43,12.64,0.91,0,0.94,0.14,0,0.29,2,0.43,100,,,,0,0,0,Swedish First Division
E. Käck,Djurgården,"LB, RB, LW",30,800000,2021-12-31,9,564,0,0.04,1,0.87,Sweden,Sweden,left,173,68,no,4.47,4.47,57.14,1.76,54.55,0.32,0.47,0.16,1.6,2.36,0.48,1,0.16,0,0,3.03,0,0,0,0.01,0,0,2,0.32,0,0,0.16,4.79,43.33,4.79,43.33,0,0,0.32,1.12,71.43,2.87,50,0.48,1.28,60.16,83.02,16.76,67.62,8.3,96.15,25.53,88.75,46.28,91.03,9.89,62.9,21.05,39.13,0.14,0,0,0.32,50,0.64,8.62,61.11,5.11,56.25,0.8,20,0.96,1.91,10.21,81.25,0,,0,,0,0,0,0,1.12,,,,,,,,1.6,0,0,3.19,0,0,Swedish First Division
B. Hussein,AIK,"RWB, LCMF, RCMF3",20,800000,2021-12-31,13,1121,2,0.54,0,1.02,Sweden,"Sweden, Somalia",right,173,65,no,7.55,7.31,58.24,1.69,23.81,0.24,0.37,0.08,3.05,4.63,1.28,3,0.24,0,0,1.69,0.16,2,0.16,0.04,0,0,10,0.8,20,20,0,1.2,53.33,0.32,50,0.88,54.55,0,1.12,57.14,4.34,48.15,0.72,1.12,46.49,84.97,14.93,73.66,7.15,95.51,17.02,91.04,42.79,87.99,2.73,47.06,17.4,34.98,0.08,0,0,0.96,25,0.56,6.34,72.15,2.17,59.26,0.96,25,1.12,0.56,8.19,79.41,0,,0,,0,0,0,0,0.8,,,,,,,,0,0,0,0,0,0,Swedish First Division
S. Sandberg,Hammarby,RB,26,800000,2022-11-30,9,680,0,0.01,0,0.68,Sweden,Sweden,right,186,77,no,6.22,4.1,41.94,2.51,42.11,0.13,0.17,0.93,4.37,5.47,0.66,1,0.13,0,0,1.99,0,0,0,0,0,0,1,0.13,0,0,0,3.71,39.29,0,0,3.71,39.29,0.26,0.79,33.33,2.65,30,0.26,0.93,46.85,79.38,12.97,62.24,9.66,94.52,18.53,84.29,38.65,86.3,5.03,55.26,20.21,38.06,0.09,0,0.13,0.53,50,0.53,6.62,62,4.1,48.39,0.66,20,1.06,1.59,11.78,71.91,0,,0,,0,0,0,0,0.66,,,,,,,,0,0,0,0,0,0,Swedish First Division
L. Hallenius,IFK Norrköping,CF,31,800000,2021-05-31,2,83,0,0,0,0,Sweden,Sweden,right,185,81,no,2.17,1.08,100,4.34,0,0,0,0,1.08,1.58,1.08,1,1.08,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,1.08,100,0,0,1.08,100,1.08,2.17,50,7.59,42.86,2.17,0,20.6,84.21,2.17,50,5.42,80,8.67,87.5,19.52,83.33,0,0,14.21,0,0,0,0,1.08,0,0,0,0,1.08,100,1.08,0,1.08,1.08,1.08,100,0,,0,,0,0,0,0,1.08,,,,,,,,0,0,0,0,0,0,Swedish First Division
E. Ofori,AIK,"LCMF, DMF, LDMF",25,750000,2023-12-31,8,596,0,0,0,0.04,Ghana,Ghana,left,172,74,no,10.12,7.25,75,3.47,43.48,0.3,0.5,0,4.38,7.31,1.36,2,0.3,0,0,0.91,0,0,0,0,0,0,2,0.3,0,0,0,0.15,100,0.15,100,0,0,0.15,1.36,55.56,4.68,32.26,0.3,0.76,54.36,91.67,17.21,86.84,5.29,97.14,25.37,93.45,49.53,94.51,4.83,62.5,20.24,31.21,0.01,0,0,0.15,0,0,9.82,83.08,0.76,60,0.6,50,0.45,0.15,8.61,77.19,0,,0,,0,0,0,0,2.11,,,,,,,,0,0,0,0,0,0,Swedish First Division
L. Nielsen,Malmö FF,LCB,32,725000,2021-12-31,6,575,0,0.21,0,0,Denmark,Denmark,right,185,82,no,9.55,6.26,72.5,8.61,74.55,0.47,0.69,0.94,4.54,6.64,0.47,2,0.31,0,0,0,0,0,0,0.03,0,0,2,0.31,0,0,0,0.16,0,0,0,0.16,0,0,0.16,0,1.57,60,0.47,1.25,59.48,92.63,25.67,85.37,2.82,100,28.02,98.32,54.31,95.39,5.01,65.63,22.17,39.45,0,0,0.16,0,0,0,8.14,84.62,0.47,0,0.31,0,0,0,10.96,82.86,0,,0,,0,0,0,0,1.88,,,,,,,,0,0,0,0,0,0,Swedish First Division
R. Söder,IFK Göteborg,CF,29,725000,2021-12-31,2,187,0,0,0,0.08,Sweden,Sweden,right,177,73,no,1.93,1.93,50,3.37,14.29,0.48,0.79,0,0.48,0.79,0.48,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0.48,100,0.48,100,0,0,0,0,0,6.26,23.08,0.96,0.48,20.7,72.09,4.81,50,5.78,83.33,6.26,84.62,20.21,71.43,0,0,14.54,0,0.04,0,0,0,0,0.48,1.93,50,1.93,50,0,0,0,0.48,0.96,100,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Swedish First Division
